School Name, Car Number, Acceleration, Cost, Design, Hill, Maneuverability, Sales, Susp&Traction, Endurance, Overall
Bucknell Univ, 24, 38.0454545455, 10.0, 60.0, 65.5462184874, 50.4299960578, 37.8, 50.2738368216, 0, 312.095505912
Johns Hopkins Univ, 25, 50.8636363636, 10.0, 100.0, 58.9285714286, 55.9710318445, 34.5, 0, 0, 310.263239637
Univ of Helwan, 26, 0, 2.0, 30.0, 0, 0, 0.0, 0, 0, 32.0
Cetys Universidad, 27, 0, 0.0, 0.0, 0, 0, 31.25, 0, 0, 31.25
Univ of Akron, 20, 57.8181818182, 10.0, 130.0, 53.5714285714, 55.9995035699, 42.0, 36.2657169063, 0, 385.654830866
Univ of Alaska - Anchorage, 21, 21.6363636364, 11.0, 40.0, 28.6764705882, 38.3733154229, 30.4, 38.7451911651, 0, 208.831340813
Oregon Inst of Tech, 22, 42.7272727273, 14.0, 40.0, 50.4201680672, 64.1314663669, 37.5, 19.1546198235, 0, 267.933526985
North Carolina A & T State Univ, 23, 32.0454545455, 10.0, 70.0, 34.6638655462, 60.0939566938, 43.25, 8.5283015715, 0, 258.581578357
Univ of Nevada - Las Vegas, 28, 49.4090909091, 9.0, 40.0, 46.9537815126, 63.4350041613, 37.75, 63.8583960918, 0, 310.406272675
Colorado State University, 29, 26.5454545455, 2.0, 0.0, 6.93277310924, 38.6120398896, 28.4, 8.5283015715, 0, 111.018569116
Univ of Calif - Irvine, 59, 49.9545454545, 0.0, 80.0, 66.8067226891, 65.5988552906, 46.0, 62.2497285191, 0, 370.609851953
Maharaja Agrasen Institute Of Tech, 58, 0, 0.0, 60.0, 0, 0, 38.25, 0, 0, 98.25
Seattle Pacific Univ, 54, 22.2727272727, 0.0, 30.0, 29.3067226891, 0, 28.75, 0, 0, 110.329449962
Chitkara Institute of Engineering & Tech, 57, 0, 5.0, 0.0, 0, 0, 16.0, 0, 0, 21.0
California State Univ - Long Beach, 56, 29.0454545455, 0.0, 20.0, 65.8613445378, 51.9521382996, 25.6, 28.8817880696, 0, 221.340725452
Universidad De La Salle Bajio, 51, 44.3181818182, 11.0, 70.0, 65.5462184874, 59.5869409686, 35.8, 39.1266487434, 0, 325.377990018
ITEMS Ciudad, 53, 0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0.0
D Y Patil College Of Engineering, Akurdi, 52, 41.5909090909, 14.0, 90.0, 37.8151260504, 62.1537765189, 37.0, 0, 0, 282.55981166
Interamerican Univ of Puerto Rico, 88, 6.95454545455, 13.0, 40.0, 12.2899159664, 0.0, 26.4, 0, 0, 98.6444614209
Western New England University, 89, 23.5, 6.0, 80.0, 69.6428571429, 59.5540889778, 41.4, 48.0874257253, 0, 328.184371846
Buffalo State College, 111, 45.2727272727, 15.0, 30.0, 17.3319327731, 54.8704901517, 34.8, 8.5283015715, 0, 205.803451769
Case Western Reserve Univ, 110, 51.5454545455, 12.0, 100.0, 46.6386554622, 68.5084466119, 45.2, 0, 0, 323.89255662
Univ of Arizona, 113, 31.5, 13.0, 40.0, 42.2268907563, 0, 38.8, 36.5381866051, 0, 202.065077361
Rowan Univ, 112, 0, 9.0, 70.0, 0, 0, 37.0, 0, 0, 116.0
Univ of Rochester, 83, 53.4090909091, 15.0, 90.0, 55.7773109244, 64.5924893049, 37.8, 40.8704548155, 0, 357.449345954
Concordia University, 80, 21.1818181818, 11.0, 120.0, 25.2100840336, 49.6908262641, 44.4, 0, 0, 271.48272848
Central Michigan Univ, 81, 42.1363636364, 15.0, 50.0, 34.9789915966, 48.6735096147, 43.6, 8.5283015715, 0, 242.917166419
California State Univ- Chico, 85, 59.1363636364, 0.0, 110.0, 61.7647058824, 0, 19.5, 38.554462376, 0, 288.955531895
Rochester Institute of Technology, 3, 51.6363636364, 15.0, 120.0, 49.7899159664, 71.4333688622, 46.0, 67.6932775693, 0, 421.552926034
Univ of Nebraska - Lincoln, 7, 53.5909090909, 15.0, 90.0, 34.6638655462, 0, 44.0, 0, 0, 237.254774637
Georgia Institute of Technology, 108, 41.7727272727, 12.0, 60.0, 38.4453781513, 46.9411146315, 31.0, 39.1538957133, 0, 269.313115769
Univ of Puerto Rico-Mayaquez, 100, 18.4090909091, 12.0, 30.0, 7.8781512605, 8.11444173517, 23.0, 0, 0, 99.4016839048
Univ of San Diego, 39, 28.9545454545, 1.0, 30.0, 27.731092437, 43.79389391, 25.5, 0, 0, 156.979531801
Keimyung University, 38, 38.3181818182, 12.0, 20.0, 25.2100840336, 0, 26.8, 8.5283015715, 0, 130.856567423
Instituto Tecnologico de Chihuahua, 33, 30.9545454545, 13.0, 70.0, 39.0756302521, 64.7906963162, 37.0, 34.0314653764, 0, 288.852337399
San Jose State University, 32, 44.4545454545, 13.0, 50.0, 28.0462184874, 65.205726467, 15.6, 53.9278854634, 0, 270.234375872
Univ of Calif - Los Angeles, 31, 51.4090909091, 14.0, 90.0, 29.9369747899, 0, 35.0, 0, 0, 220.346065699
Louisiana State Univ, 30, 39.4090909091, 10.0, 40.0, 42.2268907563, 0, 40.75, 0, 0, 172.385981665
Instituto Tecnologico de Queretaro, 35, 18.8181818182, 5.0, 70.0, 46.3235294118, 60.6524405379, 11.25, 0, 0, 212.044151768
Univ of Missouri - Kansas City, 63, 53.0, 12.0, 120.0, 48.5294117647, 55.8407189476, 26.0, 53.1564229621, 0, 368.526553674
Queen's Univ - Ontario Canada, 64, 56.9545454545, 15.0, 140.0, 49.1596638655, 44.4246521339, 46.0, 31.6064850573, 0, 383.145346511
Ohio Northern Univ, 65, 30.6363636364, 4.0, 70.0, 33.0882352941, 57.4230898392, 40.0, 45.5820839891, 0, 280.729772759
Univ of Illinois - Urbana Champaign, 66, 51.4090909091, 12.0, 40.0, 46.3235294118, 40.9905240258, 44.4, 8.5283015715, 0, 243.651445918
Univ of Calif - Davis, 69, 40.5, 11.0, 50.0, 28.6764705882, 45.1966739184, 40.5, 0, 0, 215.873144507
Cornell Univ, 2, 60.5909090909, 12.0, 130.0, 60.5042016807, 72.1780139876, 40.0, 72.3762083251, 0, 447.649333084
Oregon State Univ, 6, 47.2272727273, 8.0, 120.0, 75.0, 57.4778431573, 46.0, 66.3987089768, 0, 420.103824861
Olympic College, 90, 0, 0.0, 0.0, 0, 0, 18.4, 0, 0, 18.4
Utah State University, 95, 34.0909090909, 10.0, 40.0, 46.9537815126, 10.944093212, 23.25, 34.4946638643, 0, 199.73344768
Alexandria Univ, 11, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0
Eastern Washington Univ, 12, 0.0, 11.0, 0.0, 16.0714285714, 0, 38.0, 0, 0, 65.0714285714
Vellore Institute of Technology, 15, 46.6818181818, 15.0, 80.0, 18.9075630252, 51.5546292105, 42.2, 8.71903036064, 0, 263.063040778
California State Poly Univ - Pomona, 14, 19.3181818182, 12.0, 130.0, 46.9537815126, 65.2068215334, 39.4, 32.4238941536, 0, 345.302679018
California Polytechnic State Univ-SLO, 17, 57.0909090909, 2.0, 130.0, 37.8151260504, 71.2187358554, 41.8, 62.4631109396, 0, 402.387881936
California State Univ - Los Angeles, 16, 37.6818181818, 10.0, 70.0, 65.5462184874, 0, 28.0, 32.0151896055, 0, 243.243226275
New Jersey Inst of Tech (Newark Coll), 18, 51.2272727273, 14.0, 60.0, 60.8193277311, 55.450875323, 36.4, 40.4072563276, 0, 318.304732109
California State Univ - Fresno, 116, 0, 4.0, 0.0, 0, 0, 36.0, 0, 0, 40.0
ITESM - Campus Saltillo, 48, 0, 9.0, 30.0, 0, 0, 0.0, 0, 0, 39.0
Kansas State Univ, 49, 36.7727272727, 1.0, 80.0, 18.9075630252, 61.6511410591, 21.75, 39.0449078338, 0, 259.126339191
Cairo University, 46, 0, 5.0, 0.0, 0, 0, 0.0, 0, 0, 5.0
Virginia Tech, 45, 25.2727272727, 12.0, 70.0, 28.0462184874, 59.7128736001, 35.8, 56.315237413, 0, 287.147056773
Northern Arizona Univ, 42, 17.4545454545, 10.0, 50.0, 37.5, 0, 23.2, 0, 0, 138.154545455
Univ of Tennessee - Martin, 43, 46.8636363636, 8.0, 80.0, 33.718487395, 52.5982274526, 35.8, 8.5283015715, 0, 265.508652783
California State Univ - Fullerton, 40, 46.9545454545, 0.0, 70.0, 46.0084033613, 69.1950532202, 35.2, 61.7496072711, 0, 329.107609307
LeTourneau Univ, 41, 23.2727272727, 8.0, 50.0, 46.0084033613, 0, 31.0, 18.3099637574, 0, 176.591094391
Univ of Michigan - Ann Arbor, 1, 75.0, 14.0, 140.0, 71.5336134454, 75.0, 46.0, 75.0, 0, 496.533613445
Ecole De Technologie Superieure, 5, 52.0, 15.0, 140.0, 35.6092436975, 65.9996495788, 43.8, 59.856263392, 0, 412.265156668
Iowa State Univ, 9, 51.2272727273, 11.0, 120.0, 55.7773109244, 49.7488647812, 40.2, 38.1457578278, 0, 366.099206261
Lamar Univ, 77, 38.9090909091, 12.0, 30.0, 22.6890756303, 54.1773131452, 29.6, 0, 0, 187.375479685
ESIA Tlalnepantla, 76, 0, 0.0, 20.0, 0, 0, 0.0, 0, 0, 20.0
San Diego State Univ, 75, 61.8181818182, 11.0, 40.0, 66.4915966387, 65.5517674371, 37.4, 8.5283015715, 0, 290.789847465
Univ of Waterloo, 74, 32.8636363636, 11.0, 0.0, 36.8697478992, 38.4718713954, 41.8, 0, 0, 161.005255658
Escuela Sup de Ing Automotriz Ecatepec, 72, 35.4090909091, 1.0, 20.0, 59.5588235294, 51.6104775949, 32.8, 40.325515418, 0, 240.703907451
